player_id,name,current_value,current_date,peak_value,peak_date,days_since_update,is_stale,total_goals,total_assists,total_minutes,total_appearances,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90,date_of_birth,position,sub_position,foot,height_in_cm,country_of_citizenship,age,log_value,age_squared,recent_goals_per_90,recent_assists_per_90,recent_minutes,league_tier,league_tier_missing,predicted_log_value,residual
274344,Djordje Nikolic,125000,2025-10-21,1000000,2019-06-04,129,False,0,0,1395,16,4,0,0.0,0.0,1997-04-13,Goalkeeper,Goalkeeper,right,195.0,Serbia,28.522929500342237,11.736077016252437,813.5575072814934,0.0,0.0,585.0,1.0,0,13.166496128377604,-1.4304191121251666
288237,Jérémy Gélin,800000,2025-10-21,8000000,2018-06-04,129,False,0,3,7118,107,10,3,0.0,0.0379320033717336,1997-04-24,Midfield,Defensive Midfield,right,183.0,France,28.49281314168378,13.592368256649284,811.8404007269079,0.0,0.0,884.0,1.0,0,13.90973456247827,-0.31736630582898684
289587,Aaron Leya Iseka,350000,2025-10-21,3000000,2018-10-24,129,False,22,4,5965,128,15,1,0.3319362950544845,0.0603520536462699,1997-11-15,Attack,Centre-Forward,right,183.0,Belgium,27.9315537303217,12.765691290604371,780.1716937898481,0.0,0.0,0.0,1.0,1,13.394604921795048,-0.6289136311906773
314295,Reece Oxford,450000,2025-10-21,12000000,2022-06-09,129,False,3,2,6641,105,14,1,0.0406565276313808,0.0271043517542538,1998-12-16,Defender,Centre-Back,right,190.0,England,26.847364818617383,13.017005083966255,720.7809977039344,0.0,0.0,0.0,1.0,1,13.38939372512628,-0.3723886411600237
315332,Aymen Barkok,450000,2025-10-21,3500000,2021-02-10,129,False,6,8,4380,127,13,0,0.1232876712328767,0.1643835616438356,1998-05-21,Midfield,Attacking Midfield,right,189.0,Morocco,27.419575633127995,13.017005083966255,751.8331279008264,0.0,0.0,0.0,1.0,1,13.262891097834743,-0.2458860138684873
317593,Patrick Joosten,250000,2025-10-21,900000,2019-03-13,129,False,19,15,8431,159,5,0,0.2028229154311469,0.1601233542877476,1996-04-14,Attack,Left Winger,right,185.0,Netherlands,29.51950718685832,12.429220196836383,871.40130455498,0.1171875,0.234375,768.0,2.0,0,13.875016989167921,-1.4457967923315387
332875,Adi Nalic,300000,2025-10-21,800000,2021-12-17,129,False,2,0,1047,32,3,0,0.1719197707736389,0.0,1997-12-01,Midfield,Attacking Midfield,right,190.0,Bosnia-Herzegovina,27.887748117727583,12.611541086966115,777.7264950778183,0.14729950900163666,0.0,611.0,2.0,0,13.3524689556767,-0.7409278687105854
461717,Vedad Radonja,300000,2025-10-21,350000,2024-05-23,129,False,2,0,1960,29,2,1,0.0918367346938775,0.0,2001-09-06,Defender,Right-Back,right,182.0,Bosnia-Herzegovina,24.123203285420946,12.611541086966115,581.9289367497439,0.0,0.0,766.0,1.0,0,13.522009737159316,-0.9104686501932004
689628,Lucas Vera,3000000,2025-10-21,3500000,2025-06-04,129,False,10,16,6903,91,9,0,0.1303780964797914,0.2086049543676662,1997-04-18,Midfield,Central Midfield,right,164.0,Argentina,28.50924024640657,14.914123179965662,812.7767794273282,0.3508771929824561,0.17543859649122806,1539.0,1.0,0,14.735215428554104,0.17890775141155757
477477,Emmanuel Boateng,350000,2025-10-21,1200000,2023-12-08,129,False,0,0,375,10,1,1,0.0,0.0,1997-06-17,Midfield,Central Midfield,right,175.0,Ghana,28.34496919917865,12.765691290604371,803.4372789023863,0.0,0.0,210.0,1.0,0,12.985569942194063,-0.219878651589692
